Episode, Steps, Reward, Time (in milliseconds)
368, 13, -1.2, 57
369, 23, -2.2000000000000006, 44
370, 25, -2.400000000000001, 37
371, 18, -1.7000000000000004, 35
372, 20, -1.9000000000000006, 40
373, 16, -1.5000000000000002, 57
374, 14, -1.3, 55
375, 22, -2.1000000000000005, 31
376, 25, -2.400000000000001, 29
377, 25, -2.400000000000001, 37
378, 17, -1.6000000000000003, 37
379, 25, -2.400000000000001, 36
380, 14, -1.3, 45
381, 23, -2.2000000000000006, 28
382, 25, -2.400000000000001, 28
383, 17, -1.6000000000000003, 52
384, 16, -1.5000000000000002, 67
385, 5, -0.4, 42
386, 25, -2.400000000000001, 31
387, 25, -2.400000000000001, 38
388, 16, -1.5000000000000002, 38
389, 16, -1.5000000000000002, 42
390, 25, -2.400000000000001, 39
391, 16, -1.5000000000000002, 35
392, 16, -1.5000000000000002, 70
393, 20, -1.9000000000000006, 49
394, 17, -1.6000000000000003, 53
395, 17, -1.6000000000000003, 41
396, 23, -2.2000000000000006, 53
397, 18, -1.7000000000000004, 42
398, 14, -1.3, 38
399, 25, -2.400000000000001, 51
400, 19, -1.8000000000000005, 48
401, 25, -2.400000000000001, 54
402, 16, -1.5000000000000002, 58
403, 16, -1.5000000000000002, 34
404, 17, -1.6000000000000003, 38
405, 8, -5.6, 51
406, 18, -1.7000000000000004, 50
407, 16, -1.5000000000000002, 40
408, 17, -1.6000000000000003, 32
409, 25, -2.400000000000001, 32
410, 13, -1.2, 47
411, 25, -2.400000000000001, 49
412, 17, -1.6000000000000003, 40
413, 15, -1.4000000000000001, 40
414, 15, -1.4000000000000001, 42
415, 16, -1.5000000000000002, 53
416, 20, -1.9000000000000006, 50
417, 16, -1.5000000000000002, 37
418, 15, -1.4000000000000001, 33
419, 21, -2.0000000000000004, 37
420, 18, -1.7000000000000004, 38
421, 21, -2.0000000000000004, 38
422, 18, -1.7000000000000004, 35
423, 18, -1.7000000000000004, 38
424, 22, -2.1000000000000005, 39
425, 15, -1.4000000000000001, 58
426, 14, -1.3, 68
427, 25, -2.400000000000001, 45
428, 13, -1.2, 40
429, 15, -1.4000000000000001, 42
430, 14, -1.3, 43
431, 25, -2.400000000000001, 46
432, 17, -1.6000000000000003, 37
433, 15, -1.4000000000000001, 39
434, 15, -1.4000000000000001, 38
435, 16, -1.5000000000000002, 48
436, 18, -1.7000000000000004, 35
437, 15, -1.4000000000000001, 41
438, 13, -1.2, 47
439, 20, -1.9000000000000006, 49
440, 14, -1.3, 49
441, 16, -1.5000000000000002, 38
442, 21, -2.0000000000000004, 43
443, 18, -1.7000000000000004, 53
444, 5, -0.4, 49
445, 15, -1.4000000000000001, 35
446, 17, -1.6000000000000003, 37
447, 16, -1.5000000000000002, 45
448, 16, -1.5000000000000002, 50
449, 14, -1.3, 60
450, 5, -0.4, 45
451, 13, -1.2, 83
452, 19, -1.8000000000000005, 91
453, 16, -1.5000000000000002, 37
454, 17, -1.6000000000000003, 50
455, 25, -2.400000000000001, 52
456, 25, -2.400000000000001, 56
457, 21, -2.0000000000000004, 52
458, 17, -1.6000000000000003, 48
459, 16, -1.5000000000000002, 57
460, 19, -1.8000000000000005, 41
461, 20, -1.9000000000000006, 41
462, 25, -2.400000000000001, 54
463, 15, -1.4000000000000001, 54
464, 6, -0.5, 46
465, 25, -2.400000000000001, 40
